+-------------------------------------+----------------------------------------------------------------------+
|               Package               |                               License                                |
|   nvidia-cuda-nvrtc-cu12 12.1.105   |                     NVIDIA Proprietary Software                      |
|  nvidia-cuda-runtime-cu12 12.1.105  |                     NVIDIA Proprietary Software                      |
|      nvidia-cudnn-cu12 8.9.2.26     |                     NVIDIA Proprietary Software                      |
|     nvidia-cufft-cu12 11.0.2.54     |                     NVIDIA Proprietary Software                      |
|    nvidia-curand-cu12 10.3.2.106    |                     NVIDIA Proprietary Software                      |
|   nvidia-cusolver-cu12 11.4.5.107   |                     NVIDIA Proprietary Software                      |
|   nvidia-cusparse-cu12 12.1.0.106   |                     NVIDIA Proprietary Software                      |
|       nvidia-ml-py 12.535.133       |                                 BSD                                  |
|       nvidia-nccl-cu12 2.18.1       |                     NVIDIA Proprietary Software                      |
|    nvidia-nvjitlink-cu12 12.3.101   |                     NVIDIA Proprietary Software                      |
|      nvidia-nvtx-cu12 12.1.105      |                     NVIDIA Proprietary Software                      |
|            openml 0.14.1            |                             BSD 3-clause                             |
|           opt-einsum 3.3.0          |                                 MIT                                  |
|        oslo.concurrency 5.2.0       |                               UNKNOWN                                |
|          oslo.config 9.2.0          |                               UNKNOWN                                |
|           oslo.i18n 6.2.0           |                               UNKNOWN                                |
|           oslo.utils 6.3.0          |                               UNKNOWN                                |
|            packaging 24.0           |                         (Licence not found)                          |
|             pandas 2.2.2            |                         BSD 3-Clause License                         |
|             paramz 0.9.6            |                             BSD 3-clause                             |
|             parso 0.8.3             |                                 MIT                                  |
|             partd 1.4.1             |                                 BSD                                  |
|             pathos 0.3.1            |                             BSD-3-Clause                             |
|          pathvalidate 3.2.0         |                             MIT License                              |
|             patsy 0.5.3             |                             2-clause BSD                             |
|              pbr 6.0.0              |                               UNKNOWN                                |
|            pexpect 4.8.0            |                             ISC license                              |
|            Pillow 10.0.1            |                                 HPND                                 |
|              pip 23.3.2             |                                 MIT                                  |
|          pip-licenses 4.4.0         |                                 MIT                                  |
|          platformdirs 4.0.0         |                         (Licence not found)                          |
|            plotly 5.18.0            |                                 MIT                                  |
|            pluggy 0.13.1            |                             MIT license                              |
|               ply 3.11              |                                 BSD                                  |
|          portalocker 2.8.2          |                             BSD-3-Clause                             |
|              pox 0.3.3              |                             BSD-3-Clause                             |
|             ppft 1.7.6.7            |                             BSD-3-Clause                             |
|          prettytable 3.10.0         |                            BSD (3 clause)                            |
|        prompt-toolkit 3.0.41        |                         (Licence not found)                          |
|           protobuf 4.25.1           |                         3-Clause BSD License                         |
|             psutil 5.9.6            |                             BSD-3-Clause                             |
|           ptyprocess 0.7.0          |                               UNKNOWN                                |
|           pure-eval 0.2.2           |                                 MIT                                  |
|              py 1.11.0              |                             MIT license                              |
|            pyarrow 14.0.2           |                     Apache License, Version 2.0                      |
|             pybnn 0.0.5             |                         BSD 3-Clause License                         |
|            pycparser 2.21           |                                 BSD                                  |
|         pycryptodome 3.19.1         |                          BSD, Public Domain                          |
|             pyDOE 0.3.8             |                        BSD License (3-Clause)                        |
|             pydot 1.4.2             |                                 MIT                                  |
|             pydotz 1.5.1            |                                 MIT                                  |
|           Pygments 2.16.1           |                             BSD-2-Clause                             |
|            pymoo 0.6.0.1            |                          Apache License 2.0                          |
|           pynisher 1.0.10           |                                 MIT                                  |
|           pyparsing 3.1.1           |                         (Licence not found)                          |
|        pyproject-hooks 1.0.0        |                         (Licence not found)                          |
|             PyQt5 5.15.7            |                                GPL v3                                |
|           PyQt5-Qt5 5.15.2          |                               LGPL v3                                |
|          PyQt5-sip 12.13.0          |                                 SIP                                  |
|             pyrfr 0.9.0             |                             BSD-3-Clause                             |
|            pyro-api 0.1.2           |                          Apache License 2.0                          |
|            pyro-ppl 1.8.6           |                              Apache 2.0                              |
|              Pyro4 4.80             |                                 MIT                                  |
|            PySocks 1.7.1            |                                 BSD                                  |
|             pytest 6.2.4            |                                 MIT                                  |
|        python-dateutil 2.8.2        |                             Dual License                             |
|         pytorch-msssim 0.2.1        |                               UNKNOWN                                |
|          pytz 2023.3.post1          |                                 MIT                                  |
|           PyWavelets 1.4.1          |                                 MIT                                  |
|             PyYAML 6.0.1            |                                 MIT                                  |
|             pyzmq 25.1.1            |                               LGPL+BSD                               |
|          referencing 0.31.0         |                                 MIT                                  |
|           regex 2023.10.3           |                       Apache Software License                        |
|           requests 2.31.0           |                              Apache 2.0                              |
|         requests-cache 1.2.0        |                             BSD-2-Clause                             |
|            rfc3986 2.0.0            |                              Apache 2.0                              |
|             rich 13.7.1             |                                 MIT                                  |
|            rpds-py 0.13.0           |                                 MIT                                  |
|              rtpt 0.0.4             |                               UNKNOWN                                |
|              s3fs 0.4.2             |                                 BSD                                  |
|           s3transfer 0.7.0          |                          Apache License 2.0                          |
|          sagemaker 2.197.0          |                          Apache License 2.0                          |
|             schema 0.7.5            |                                 MIT                                  |
|         scikit-image 0.19.2         |                             Modified BSD                             |
|          scikit-learn 1.1.3         |                               new BSD                                |
|             scipy 1.10.1            | Copyright (c) 2001-2002 Enthought, Inc. 2003-2022, SciPy Developers. |
|             serpent 1.41            |                                 MIT                                  |
|          setproctitle 1.3.3         |                             BSD-3-Clause                             |
|          setuptools 69.0.3          |                         (Licence not found)                          |
|              six 1.16.0             |                                 MIT                                  |
|              smac 2.0.2             |                         BSD 3-Clause License                         |
|      smdebug-rulesconfig 1.0.1      |                      Apache License Version 2.0                      |
|        sortedcontainers 2.4.0       |                              Apache 2.0                              |
